사고날짜,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자.차종,가해운전자.성별,가해운전자.연령,가해운전자.상해정도,피해운전자.차종,피해운전자.성별,피해운전자.연령,피해운전자.상해정도,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도,날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-01-01,2.01801E+15,2018년 1월 1일 20시,1,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,2,기타 - 기타,승용,남,47세,상해없음,보행자,남,78세,중상,경기도,파주시,금릉역로,경기도 파주시 금릉역로,경기도 파주시 금촌동 978-13,177,1,1,N,37.75149317,126.7659259,4,7.9,20.5,1,1,N,26,50,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.788461538,2018-01-01 00:00:00,99,-5.6,-12.4,2.8
2018-04-02,2.01804E+15,2018년 4월 2일 05시,1,경기도 파주시 문산읍,4,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,단일로 - 기타,승용,남,64세,상해없음,보행자,남,83세,사망,경기도,파주시,통일로,경기도 파주시 문산읍 통일로 1826,경기도 파주시 문산읍 선유리 산 76-4,86,1,1,N,37.87066938,126.7885017,4,5.8,16.9,1,1,N,20,93,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.845,2018-04-02 00:00:00,99,17,13.7,21.9
2018-04-10,2.01804E+15,2018년 4월 10일 21시,2,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,교차로 - 교차로횡단보도내,화물,남,36세,상해없음,보행자,남,31세,중상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 1,경기도 파주시 금촌동 978-37,193,1,1,N,37.75007727,126.768648,6,5.8,21.2,1,1,Y,27,88,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.785185185,2018-04-10 00:00:00,99,12.2,0.5,21.8
2018-06-05,2.01806E+15,2018년 6월 5일 14시,2,경기도 파주시 금촌동,3,0,1,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,남,57세,상해없음,보행자,남,82세,중상,경기도,파주시,금정로,경기도 파주시 금정로 41,경기도 파주시 금촌동 803-7,141,1,1,N,37.75858432,126.7754701,1,3.9,15.7,1,1,N,30,118,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.523333333,2018-06-05 00:00:00,99,20.7,13.5,28.8
2018-06-09,2.01806E+15,2018년 6월 9일 08시,6,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,단일로 - 기타,승합,여,48세,상해없음,보행자,여,58세,중상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 192,경기도 파주시 금촌동 329-95,112,1,1,N,37.76507279,126.7739127,1,4.1,27.3,1,1,Y,34,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.802941176,2018-06-09 00:00:00,99,20.4,16,29
2018-06-25,2.01806E+15,2018년 6월 25일 13시,1,경기도 파주시 문산읍,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,남,36세,상해없음,보행자,남,80세,중상,경기도,파주시,문산역로,경기도 파주시 문산읍 문산역로 91,경기도 파주시 문산읍 문산리 17-421,37,1,1,N,37.85450156,126.7870906,4,7.5,13,1,1,Y,36,84,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.361111111,2018-06-25 00:00:00,99,23.5,18.3,30.7
2018-07-19,2.01807E+15,2018년 7월 19일 20시,4,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,단일로 - 기타,승용,여,21세,상해없음,보행자,여,26세,경상,경기도,파주시,사임당로,경기도 파주시 문산읍 사임당로 10,경기도 파주시 문산읍 선유리 1360,91,1,1,N,37.8586458,126.795938,5,7.7,17.4,1,1,N,24,95,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.725,2018-07-19 00:00:00,99,26,21.5,32.8
2018-08-08,2.01808E+15,2018년 8월 8일 07시,3,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로횡단보도내,승용,남,58세,상해없음,보행자,남,57세,경상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 192,경기도 파주시 금촌동 329-95,112,1,1,N,37.76507279,126.7739127,1,4.1,27.3,1,1,Y,34,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.802941176,2018-08-08 00:00:00,99,29,25.5,34.8
2018-09-12,2.01809E+15,2018년 9월 12일 11시,3,경기도 파주시 야당동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,단일로 - 기타,승용,여,49세,상해없음,보행자,여,67세,중상,경기도,파주시,소리천로8번길,경기도 파주시 소리천로8번길 46,경기도 파주시 야당동 1062,458,1,1,N,37.71200809,126.7602549,4,5.6,16.1,1,1,N,20,90,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.805,2018-09-12 00:00:00,99,20.1,14.1,27.8
2018-09-22,2.01809E+15,2018년 9월 22일 15시,6,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,남,35세,상해없음,보행자,남,7세,경상,경기도,파주시,봉미로,경기도 파주시 문산읍 봉미로 53,경기도 파주시 문산읍 당동리 89-4,19,1,1,N,37.86437142,126.7833603,3,5.5,8.3,1,1,N,18,107,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.461111111,2018-09-22 00:00:00,99,19.4,12.2,25.9
2018-09-28,2.01809E+15,2018년 9월 28일 15시,5,경기도 파주시 아동동,2,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로횡단보도내,승합,남,59세,상해없음,보행자,여,57세,경상,경기도,파주시,아동로,경기도 파주시 아동로 54,경기도 파주시 아동동 322-28,273,1,1,N,37.76654646,126.7801816,2,3.9,7.9,1,1,N,18,130,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.438888889,2018-09-28 00:00:00,99,14.8,10.2,22.9
2018-11-12,2.01811E+15,2018년 11월 12일 18시,1,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로횡단보도내,승용,남,41세,상해없음,보행자,남,14세,경상,경기도,파주시,우계로,경기도 파주시 문산읍 우계로 472,경기도 파주시 문산읍 선유리 667-6,94,1,1,N,37.85873853,126.7922744,4,5.6,16.7,1,1,N,23,126,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.726086957,2018-11-12 00:00:00,99,4.8,-1.6,14.2
2018-12-03,2.01812E+15,2018년 12월 3일 07시,1,경기도 파주시 금촌동,4,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,4,교차로 - 교차로횡단보도내,승용,남,35세,상해없음,보행자,남,68세,사망,경기도,파주시,금정로,경기도 파주시 금정로 41,경기도 파주시 금촌동 803-7,141,1,1,N,37.75858432,126.7754701,1,3.9,15.7,1,1,N,30,118,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.523333333,2018-12-03 00:00:00,99,8.2,6.2,9.9
2018-12-31,2.01812E+15,2018년 12월 31일 07시,1,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,남,50세,상해없음,보행자,여,60세,경상,경기도,파주시,번영로,경기도 파주시 번영로 58,경기도 파주시 금촌동 978-5,168,1,1,N,37.75784856,126.7665953,2,2.9,7.4,1,1,N,10,105,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.74,2018-12-31 00:00:00,99,-9.4,-16.9,0
2019-02-02,2.01902E+15,2019년 2월 2일 15시,6,경기도 파주시 문산읍,3,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로횡단보도내,승용,여,50세,상해없음,보행자,남,72세,중상,경기도,파주시,봉미로,경기도 파주시 문산읍 봉미로 53,경기도 파주시 문산읍 당동리 89-4,19,1,1,N,37.86437142,126.7833603,3,5.5,8.3,1,1,N,18,107,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.461111111,2019-02-02 00:00:00,99,-0.3,-9.7,7.2
2019-02-23,2.01902E+15,2019년 2월 23일 21시,6,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,남,54세,상해없음,보행자,남,53세,경상,경기도,파주시,방촌로1695,경기도 파주시 문산읍 방촌로 1695,경기도 파주시 문산읍 당동리 89-4,20,1,1,N,37.86439102,126.7829994,6,6,19.3,1,1,N,28,100,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.689285714,2019-02-23 00:00:00,99,3.7,-3.6,13.2
2019-03-12,2.01903E+15,2019년 3월 12일 19시,2,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,남,53세,상해없음,보행자,남,41세,중상,경기도,파주시,문화로,경기도 파주시 문화로 56,경기도 파주시 금촌동 803-7,135,2,1,N,37.75909562,126.7766545,1,3.9,20.1,1,1,N,29,120,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.693103448,2019-03-12 00:00:00,99,3.2,-0.8,9.4
2019-03-30,2.01903E+15,2019년 3월 30일 21시,6,경기도 파주시 아동동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,남,70세,상해없음,보행자,남,53세,중상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 217,경기도 파주시 아동동 359-5,104,1,1,N,37.76613607,126.7763496,5,5.4,13,1,1,N,19,55,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.684210526,2019-03-30 00:00:00,99,4.5,2.9,9.3
2019-03-31,2.01903E+15,2019년 3월 31일 13시,0,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,단일로 - 기타,이륜,남,50세,상해없음,보행자,여,19세,중상,경기도,파주시,중앙로,경기도 파주시 중앙로 279,경기도 파주시 아동동 336-2,124,1,1,N,37.7607562,126.7769474,5,8,14.1,1,1,Y,29,118,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.486206897,2019-03-31 00:00:00,99,4.2,-1.1,9
2019-04-12,2.01904E+15,2019년 4월 12일 11시,5,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,남,63세,중상,경기도,파주시,금정로,경기도 파주시 금정로 41,경기도 파주시 금촌동 803-7,141,1,1,N,37.75858432,126.7754701,1,3.9,15.7,1,1,N,30,118,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.523333333,2019-04-12 00:00:00,99,9.1,0.3,18.7
2019-04-17,2.01904E+15,2019년 4월 17일 14시,3,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로횡단보도내,승용,남,69세,상해없음,보행자,여,32세,중상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 192,경기도 파주시 금촌동 329-95,112,1,1,N,37.76507279,126.7739127,1,4.1,27.3,1,1,Y,34,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.802941176,2019-04-17 00:00:00,99,11.5,1.1,21.2
2019-04-19,2.01904E+15,2019년 4월 19일 22시,5,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,남,69세,상해없음,보행자,여,39세,경상,경기도,파주시,통일로,경기도 파주시 문산읍 통일로 1699,경기도 파주시 문산읍 선유리 966-40,78,1,1,N,37.85985925,126.7891974,4,7.6,19.2,1,1,N,21,65,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.914285714,2019-04-19 00:00:00,99,12.5,7,19.8
2019-04-25,2.01904E+15,2019년 4월 25일 15시,4,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,4,교차로 - 교차로부근,화물,남,49세,상해없음,보행자,남,79세,중상,경기도,파주시,평화로,경기도 파주시 평화로 70-5,경기도 파주시 금촌동 329-273,224,1,1,N,37.7636264,126.7704346,2,1.8,13.6,1,1,N,14,134,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.971428571,2019-04-25 00:00:00,99,11.7,7.3,15.8
2019-08-15,2.01908E+15,2019년 8월 15일 19시,4,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,교차로운행방법위반,포장 - 건조,1,교차로 - 교차로안,원동기,남,37세,상해없음,보행자,여,59세,중상,경기도,파주시,황골로,경기도 파주시 황골로 46,경기도 파주시 금촌동 962-31,201,1,1,N,37.75533531,126.7737551,2,3.9,5.8,1,1,Y,14,104,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.414285714,2019-08-15 00:00:00,99,24.4,21.2,27.5
2019-09-03,2.01909E+15,2019년 9월 3일 16시,2,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로안,승용,남,50세,상해없음,보행자,남,58세,경상,경기도,파주시,중앙로,경기도 파주시 중앙로 316,경기도 파주시 금촌동 49-5,119,1,1,N,37.76372764,126.7748502,1,3.8,20.1,1,1,Y,33,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.609090909,2019-09-03 00:00:00,99,22.6,18.6,27.2
2019-09-11,2.01909E+15,2019년 9월 11일 20시,3,경기도 파주시 문산읍,4,1,0,0,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,2,단일로 - 기타,승용,남,34세,상해없음,보행자,남,83세,사망,경기도,파주시,문산역로,경기도 파주시 문산읍 문산역로 91,경기도 파주시 문산읍 문산리 17-421,37,1,1,N,37.85450156,126.7870906,4,7.5,13,1,1,Y,36,84,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.361111111,2019-09-11 00:00:00,99,22.6,19.3,28
2019-09-16,2.01909E+15,2019년 9월 16일 21시,1,경기도 파주시 금촌동,2,0,0,1,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,기타 - 기타,승용,남,27세,상해없음,보행자,남,63세,경상,경기도,파주시,중앙로,경기도 파주시 중앙로 316,경기도 파주시 금촌동 49-5,119,1,1,N,37.76372764,126.7748502,1,3.8,20.1,1,1,Y,33,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.609090909,2019-09-16 00:00:00,99,21.6,16.3,29.2
2019-09-18,2.01909E+15,2019년 9월 18일 20시,3,경기도 파주시 야당동,3,0,1,0,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,1,단일로 - 기타,이륜,남,51세,상해없음,보행자,남,16세,중상,경기도,파주시,소리천로8번길,경기도 파주시 소리천로8번길,경기도 파주시 야당동 1040,456,1,1,N,37.71281254,126.7604196,4,6,11.3,1,1,N,20,90,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.565,2019-09-18 00:00:00,99,18.1,12.4,23.8
2019-10-12,2.0191E+15,2019년 10월 12일 15시,6,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,남,49세,상해없음,보행자,여,74세,중상,경기도,파주시,중앙로,경기도 파주시 중앙로 316,경기도 파주시 금촌동 49-5,119,1,1,N,37.76372764,126.7748502,1,3.8,20.1,1,1,Y,33,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.609090909,2019-10-12 00:00:00,99,15.9,9.3,22.1
2019-10-14,2.0191E+15,2019년 10월 14일 22시,1,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,기타,교차로 - 교차로횡단보도내,승용,남,32세,상해없음,보행자,남,71세,경상,경기도,파주시,평화로,경기도 파주시 평화로 69-5,경기도 파주시 금촌동 962-1,229,1,0,N,37.76346108,126.7697809,5,5.9,24.9,1,0,N,20,128,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,1.245,2019-10-14 00:00:00,99,11.2,5.5,18.1
2019-11-19,2.01911E+15,2019년 11월 19일 21시,2,경기도 파주시 와동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,남,46세,상해없음,보행자,남,45세,중상,경기도,파주시,경의로,경기도 파주시 경의로 1274,경기도 파주시 와동동 1329,290,1,0,N,37.73005509,126.7605342,6,5.9,29.5,1,1,Y,36,114,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.819444444,2019-11-19 00:00:00,99,-1.2,-5.7,3.5
2019-11-29,2.01911E+15,2019년 11월 29일 21시,5,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,여,54세,상해없음,보행자,남,54세,경상,경기도,파주시,중앙로,경기도 파주시 중앙로 213,경기도 파주시 금촌동 803-4,239,1,0,N,37.75556217,126.780563,5,6.6,14.3,1,0,Y,28,122,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.510714286,2019-11-29 00:00:00,99,-1.5,-7.5,7
2019-12-16,2.01912E+15,2019년 12월 16일 17시,1,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,여,32세,상해없음,보행자,남,48세,중상,경기도,파주시,평화로,경기도 파주시 평화로 69-5,경기도 파주시 금촌동 962-1,229,1,0,N,37.76346108,126.7697809,5,5.9,24.9,1,0,N,20,128,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,1.245,2019-12-16 00:00:00,99,4.4,-2.9,10.9
2020-01-31,2.02001E+15,2020년 1월 31일 22시,5,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,단일로 - 기타,화물,여,58세,상해없음,보행자,남,40세,경상,경기도,파주시,중앙로,경기도 파주시 중앙로 279,경기도 파주시 아동동 336-2,124,1,0,N,37.7607562,126.7769474,5,8,14.1,1,0,Y,29,118,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.486206897,2020-01-31 00:00:00,99,1.9,-2.5,9.3
2020-02-21,2.02002E+15,2020년 2월 21일 23시,5,경기도 파주시 야당동,2,0,0,2,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,교차로 - 교차로안,이륜,남,55세,상해없음,보행자,남,28세,경상,경기도,파주시,경의로,경기도 파주시 경의로,경기도 파주시 야당동 998,465,1,1,N,37.71028665,126.7588655,6,5.8,33.1,1,0,N,38,122,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.871052632,2020-02-21 00:00:00,99,4.3,-2.2,10.1
2020-05-01,2.02005E+15,2020년 5월 1일 14시,5,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로부근,승용,여,57세,상해없음,보행자,남,61세,중상,경기도,파주시,평화로,경기도 파주시 평화로 70-5,경기도 파주시 금촌동 329-273,224,1,0,N,37.7636264,126.7704346,2,1.8,13.6,1,0,N,14,134,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.971428571,2020-05-01 00:00:00,99,17.8,14.3,23.9
2020-05-20,2.02005E+15,2020년 5월 20일 11시,3,경기도 파주시 금촌동,1,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,화물,여,69세,상해없음,보행자,남,58세,부상신고,경기도,파주시,금정로,경기도 파주시 금정로 41,경기도 파주시 금촌동 803-7,141,1,0,N,37.75858432,126.7754701,1,3.9,15.7,0,0,N,30,118,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.523333333,2020-05-20 00:00:00,99,13.2,7.5,19.5
2020-06-15,2.02006E+15,2020년 6월 15일 08시,1,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,단일로 - 기타,이륜,남,64세,상해없음,보행자,남,29세,중상,경기도,파주시,쇠재로,경기도 파주시 쇠재로 2,경기도 파주시 금촌동 978-36,188,1,0,N,37.74957676,126.7672624,6,6,20.7,1,0,Y,27,92,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.766666667,2020-06-15 00:00:00,99,22.1,16.7,28.4
2020-09-07,2.02009E+15,2020년 9월 7일 19시,1,경기도 파주시 야당동,2,0,0,2,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,4,교차로 - 교차로안,이륜,남,41세,경상,보행자,남,47세,경상,경기도,파주시,경의로,경기도 파주시 경의로,경기도 파주시 야당동 998,465,1,1,N,37.71028665,126.7588655,6,5.8,33.1,1,0,N,38,122,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.871052632,2020-09-07 00:00:00,99,18.7,16.6,20.6
2020-09-21,2.02009E+15,2020년 9월 21일 07시,1,경기도 파주시 와동,4,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,단일로 - 기타,승용,여,59세,상해없음,보행자,여,65세,사망,경기도,파주시,소리천로,경기도 파주시 소리천로 111,경기도 파주시 와동동 1421,283,1,0,N,37.72910592,126.7679702,5,7.8,36.1,1,0,N,30,80,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,1.203333333,2020-09-21 00:00:00,99,15.5,9.1,23.7
2020-09-25,2.02009E+15,2020년 9월 25일 08시,5,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,여,51세,상해없음,보행자,여,81세,중상,경기도,파주시,금빛로,경기도 파주시 금빛로 22,경기도 파주시 금촌동 978-18,178,1,0,N,37.75180764,126.7666199,4,10,11.6,1,0,Y,23,35,0,1,0,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.504347826,2020-09-25 00:00:00,99,18.4,13.5,25.1
2020-09-29,2.02009E+15,2020년 9월 29일 15시,2,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,교차로 - 교차로안,승용,남,75세,상해없음,보행자,여,67세,경상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 192,경기도 파주시 금촌동 329-95,112,1,0,N,37.76507279,126.7739127,1,4.1,27.3,1,0,Y,34,115,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.802941176,2020-09-29 00:00:00,99,16.4,11.1,23.4
2020-10-30,2.0201E+15,2020년 10월 30일 15시,5,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로안,이륜,남,37세,상해없음,보행자,여,60세,중상,경기도,파주시,황골로,경기도 파주시 황골로 46,경기도 파주시 금촌동 962-31,201,1,0,N,37.75533531,126.7737551,2,3.9,5.8,1,0,Y,14,104,0,1,0,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.414285714,2020-10-30 00:00:00,99,7.9,-0.4,18.5
2020-12-09,2.02012E+15,2020년 12월 9일 21시,3,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,여,47세,상해없음,보행자,여,69세,경상,경기도,파주시,문산역로,경기도 파주시 문산읍 문산역로 91,경기도 파주시 문산읍 문산리 17-421,37,1,0,N,37.85450156,126.7870906,4,7.5,13,1,0,Y,36,84,0,0,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.361111111,2020-12-09 00:00:00,99,-1.8,-9.5,4.8
2020-12-22,2.02012E+15,2020년 12월 22일 05시,2,경기도 파주시 와동,3,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,교차로 - 교차로횡단보도내,승용,남,55세,상해없음,보행자,여,63세,중상,경기도,파주시,와석순환로,경기도 파주시 와석순환로,경기도 파주시 와동동 1422,319,1,0,N,37.72409768,126.7628872,8,9.9,26.1,1,0,N,35,115,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.745714286,2020-12-22 00:00:00,99,-1.2,-8,6.3
2020-12-26,2.02012E+15,2020년 12월 26일 22시,6,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로안,승용,남,34세,상해없음,보행자,여,55세,경상,경기도,파주시,우계로,경기도 파주시 문산읍 우계로 472,경기도 파주시 문산읍 선유리 667-6,94,1,0,N,37.85873853,126.7922744,4,5.6,16.7,1,0,N,23,126,0,1,1,0,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.726086957,2020-12-26 00:00:00,99,-1.1,-7.6,7.3